,adj_db_integral,duration,budget
0,3.0,91.0,2600000.0
1,3.1,87.0,15500000.0
2,3.3,95.0,9500000.0
3,3.4,82.0,1300000.0
4,3.6,133.0,70000000.0
5,3.7,104.5,8950000.0
6,3.8,99.0,750000.0
7,3.9,104.5,34500000.0
8,4.0,90.5,18000000.0
9,4.1,99.0,34000000.0
10,4.2,92.5,15000000.0
11,4.3,93.0,10000000.0
12,4.4,94.0,5000000.0
13,4.5,97.0,20000000.0
14,4.6,95.0,25000000.0
15,4.7,97.0,10000000.0
16,4.8,92.0,22000000.0
17,4.9,94.0,20000000.0
18,5.0,96.0,22000000.0
19,5.1,99.0,18000000.0
20,5.2,96.0,20000000.0
21,5.3,100.0,27500000.0
22,5.4,99.0,32000000.0
23,5.5,99.5,24000000.0
24,5.6,97.0,25000000.0
25,5.7,100.0,30000000.0
26,5.8,98.0,22000000.0
27,5.9,102.0,24000000.0
28,6.0,101.0,22000000.0
29,6.1,103.0,24000000.0
30,6.2,103.0,28000000.0
31,6.3,104.0,33500000.0
32,6.4,107.0,27000000.0
33,6.5,107.5,24000000.0
34,6.6,105.5,30000000.0
35,6.7,107.0,25000000.0
36,6.8,109.0,26000000.0
37,6.9,107.5,25000000.0
38,7.0,109.5,25000000.0
39,7.1,106.5,26000000.0
40,7.2,106.0,22500000.0
41,7.3,112.0,30000000.0
42,7.4,111.0,22000000.0
43,7.5,115.0,20000000.0
44,7.6,119.0,25000000.0
45,7.7,113.0,19000000.0
46,7.8,113.5,19650000.0
47,7.9,124.5,20000000.0
48,8.0,121.0,19500000.0
49,8.1,115.0,30000000.0
50,8.2,117.5,15000000.0
51,8.3,112.0,14000000.0
52,8.4,120.0,24000000.0
53,8.5,122.0,23500000.0
54,8.6,114.5,30000000.0
55,8.7,111.0,60000000.0
56,8.8,108.0,16000000.0
57,8.9,97.0,8000000.0
58,9.0,115.5,30000000.0
59,9.1,108.0,14000000.0
60,9.2,114.5,15000000.0
61,9.4,115.0,3800000.0
