,db_count,db_score,im_count,im_score,name,roi,roi_count
0,7,9.0,19,10.0,Bruce,3.0,8
1,7,7.99816822031,7,8.07006797117,James Cameron,3.01082948826,7
2,7,7.6103401163,7,7.24657871289,Gore Verbinski,1.27893665439,7
3,7,7.12196398532,7,7.66465787478,Sam Mendes,2.05900415381,7
4,8,8.26031129061,8,8.52298706322,Christopher Nolan,1.82978056305,8
5,3,7.61512811758,3,7.90959314135,Andrew Stanton,1.85730039951,3
6,10,6.77722789286,11,7.2753720436,Sam Raimi,1.33453812877,10
7,1,7.78270816253,1,7.96871544707,Nathan Greno,0.772335623077,1
8,3,7.27996802769,3,8.02783775279,Joss Whedon,1.76748454033,3
9,3,6.6766798659,3,7.43661469557,David Yates,1.28122559963,3
10,7,6.80595590057,7,7.38593843352,Zack Snyder,1.44081260738,7
11,8,7.14171449062,8,7.51421272183,Bryan Singer,1.54619860903,8
12,6,7.01183995578,8,7.39227296628,Marc Forster,1.95017540006,7
13,5,7.13920078994,5,7.33019454527,Andrew Adamson,2.40516993694,4
14,5,7.54139289781,5,6.90451394406,Rob Marshall,1.64676503953,5
15,7,7.36615205081,7,6.77782328894,Barry Sonnenfeld,1.59363718303,7
16,9,7.8609121835,9,8.04754518803,Peter Jackson,1.91105001564,9
17,3,7.17942000073,3,7.37749238984,Marc Webb,2.15746109461,3
18,16,7.21712551084,16,7.37564481779,Ridley Scott,1.31838916277,16
19,5,6.79733749826,5,6.44335995943,Chris Weitz,1.997710866,5
20,4,6.87777591983,4,7.2592477784,Anthony Russo,1.14615593592,4
21,6,6.71019587489,6,6.96363624979,Peter Berg,1.19604343368,6
22,2,6.77722789286,2,7.2592477784,Colin Trevorrow,4.84578557,2
23,2,6.9783239468,2,7.61398161274,Shane Black,1.16367524667,2
24,14,7.45233607392,14,7.30358950769,Tim Burton,2.0044649494,14
25,9,6.86660391683,9,6.776415615,Brett Ratner,1.22013405241,9
26,1,7.68216013556,1,7.52529815415,Dan Scanlon,1.342441645,1
27,11,7.21598291962,12,6.91929452049,Michael Bay,1.62856519578,12
28,3,6.57613183893,3,7.52529815415,Joseph Kosinski,0.87695856348,2
29,5,7.50117368702,5,7.59624492102,John Lasseter,2.69444239056,5
30,8,6.84007040972,8,6.86017221477,Martin Campbell,0.895357937688,8
31,1,8.38599632432,1,8.41213273999,Lee Unkrich,2.074922485,1
32,6,6.6766798659,6,6.44631607471,McG,0.905974045003,6
33,7,7.45233607392,7,7.43661469557,James Wan,15.7736990378,7
34,4,7.48106408163,4,7.65832334203,J.J. Abrams,1.58768156711,4
35,4,7.4056530614,4,7.32576037234,Baz Luhrmann,1.51229603914,4
36,7,7.13632798917,7,7.11988805777,Mike Newell,2.37144614192,7
37,5,6.85766631444,5,7.38340462042,Guillermo del Toro,1.32405249768,5
38,26,7.57774487679,26,7.68561056005,Steven Spielberg,5.8987413181,25
39,1,7.07887197376,1,7.43661469557,Mark Andrews,1.28260638919,1
40,5,6.75711828747,5,7.11735424467,Justin Lin,3.68439337124,5
41,8,7.24226251758,8,6.53869467741,Roland Emmerich,1.08830541444,8
